image,image_name,MAP,UQ[VR],UQ[IE],UQ[MI],UQ[TR],UQ[PS],MAP[50],MAP[75],MAP[Small],MAP[Medium],MAP[Large],MAR[1],MAR[5],MAR[100],MAR[Small],MAR[Medium],MAR[Large]
50,dataset/origimg/org/image_top597.jpg,0.2103588581085205,0.0,0.3476981818181818,0.06997347459004423,252237.51125822405,6204.350274546359,0.2103588581085205,-1.0,-1.0,0.33261638879776,-1.0,0.09000000357627869,0.33000001311302185,0.3400000035762787,-1.0,0.3400000035762787,-1.0
51,dataset/origimg/org/image_open50.jpg,0.2050517499446869,0.0,0.6221384615384615,0.05841444289515009,323861.73229817394,4646.670591372774,0.2050517499446869,-1.0,-1.0,0.3002505600452423,0.2270941436290741,0.0055555556900799274,0.2611111104488373,0.3888888955116272,-1.0,0.33125001192092896,0.8500000238418579
52,dataset/origimg/org/image_top119.jpg,0.0,0.0,0.37028444444444447,0.07209760125285677,432875.9445759663,7428.213906769293,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0
53,dataset/origimg/org/image_top419.jpg,0.4480401277542114,0.0,0.4202031578947368,0.06926973319195168,308206.1574580849,6525.929756152544,0.4480401277542114,-1.0,-1.0,0.519696056842804,0.5421057939529419,0.0833333358168602,0.5166666507720947,0.6916666626930237,-1.0,0.5625,0.949999988079071
54,dataset/origimg/org/image_top44.jpg,0.0,0.0,0.48593666666666663,0.09370796385003355,743174.477614875,14130.886846506599,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0
55,dataset/origimg/org/image_top96.jpg,0.3983228802680969,0.0,0.26770399999999994,0.09067239354754317,499272.50320918125,9319.914875508224,0.3983228802680969,-1.0,-1.0,0.7782177925109863,-1.0,0.10000000149011612,0.800000011920929,0.824999988079071,-1.0,0.824999988079071,-1.0
56,dataset/origimg/org/image_top557.jpg,0.30238789319992065,0.0,0.34896555555555553,0.06838023372657545,654220.0584245294,12050.78130007131,0.30238789319992065,-1.0,-1.0,0.5049505233764648,-1.0,0.2750000059604645,0.5,0.5,-1.0,0.5,-1.0
57,dataset/origimg/org/image_top420.jpg,0.3785121738910675,0.0,0.4626099999999999,0.07734826734085583,445661.1329223744,9668.7590444054,0.3785121738910675,-1.0,-1.0,0.6688665747642517,-1.0,0.06666667014360428,0.44999998807907104,0.6833333373069763,-1.0,0.6833333373069763,-1.0
58,dataset/origimg/org/image_top531.jpg,0.2234557867050171,0.0,0.3475683333333333,0.05325302377815674,435850.6534579958,5405.4342206493075,0.2234557867050171,-1.0,-1.0,-1.0,0.22820258140563965,0.10000000149011612,0.5,0.6000000238418579,-1.0,-1.0,0.6000000238418579
59,dataset/origimg/org/image_top284.jpg,0.6300340890884399,0.0,0.178375,0.054636783994472804,508390.10182682425,7237.0182861638705,0.6300340890884399,-1.0,-1.0,-1.0,0.6300340890884399,0.550000011920929,1.0,1.0,-1.0,-1.0,1.0
