image,image_name,MAP,UQ[VR],UQ[IE],UQ[MI],UQ[TR],UQ[PS],MAP[50],MAP[75],MAP[Small],MAP[Medium],MAP[Large],MAR[1],MAR[5],MAR[100],MAR[Small],MAR[Medium],MAR[Large]
53,dataset/origimg/org/image_top419.jpg,0.8316831588745117,0.0,0.255738,-3.3103057667269e-07,0.0,-1.0,0.8316831588745117,-1.0,-1.0,0.7524752616882324,1.0,0.1666666716337204,0.8333333134651184,0.8333333134651184,-1.0,0.75,1.0
55,dataset/origimg/org/image_top96.jpg,1.0,0.0,0.020955,6.375424117348316e-07,0.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,0.5,1.0,1.0,-1.0,1.0,-1.0
56,dataset/origimg/org/image_top557.jpg,0.5049505233764648,0.0,0.00935,-4.156360126949046e-06,0.0,-1.0,0.5049505233764648,-1.0,-1.0,0.5049505233764648,-1.0,0.5,0.5,0.5,-1.0,0.5,-1.0
57,dataset/origimg/org/image_top420.jpg,0.5049505233764648,0.0,0.15991999999999998,-1.8426547609013317e-06,0.0,-1.0,0.5049505233764648,-1.0,-1.0,0.5049505233764648,-1.0,0.1666666716337204,0.5,0.5,-1.0,0.5,-1.0
58,dataset/origimg/org/image_top531.jpg,0.5544554591178894,0.0,0.3422766666666666,8.946403861828656e-07,0.0,-1.0,0.5544554591178894,-1.0,-1.0,-1.0,0.5544554591178894,0.3333333432674408,0.6666666865348816,0.6666666865348816,-1.0,-1.0,0.6666666865348816
59,dataset/origimg/org/image_top284.jpg,1.0,0.0,0.00327,4.88732547731293e-06,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
60,dataset/origimg/org/image_top543.jpg,1.0,0.0,0.55711,-3.998455245825261e-07,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.5,1.0,1.0,-1.0,1.0,1.0
61,dataset/origimg/org/image_top47.jpg,0.40594059228897095,0.0,0.1715825,8.449516037982094e-07,0.0,-1.0,0.40594059228897095,-1.0,-1.0,0.3366336524486542,0.5049505233764648,0.10000000149011612,0.4000000059604645,0.4000000059604645,-1.0,0.3333333432674408,0.5
62,dataset/origimg/org/image_top56.jpg,0.594059407711029,0.0,0.32017,2.489394394693603e-06,0.0,-1.0,0.594059407711029,-1.0,-1.0,0.6633663177490234,0.5049505233764648,0.20000000298023224,0.6000000238418579,0.6000000238418579,-1.0,0.6666666865348816,0.5
63,dataset/origimg/org/image_open54.jpg,0.6316831707954407,0.0,0.525678,-9.530216497355415e-07,0.0,-1.0,0.6316831707954407,-1.0,-1.0,0.5470296740531921,1.0,0.1666666716337204,0.6666666865348816,0.6666666865348816,-1.0,0.6000000238418579,1.0
